id,type,name
Nordea Bank AB,Entity,Nordea Bank AB
Deutsche Bank,Entity,Deutsche Bank
"The 'all' ontology for DER example individuals is provided for convenience for FIBO users.  This ontology does not add new assertions, but imports all of the Production (Released) ontologies that comprise the FIBO Foundations (FND), Business Entities (BE), Financial Business and Commerce (FBC), Indices and Indicators (IND), Securities (SEC) and Derivatives (DER) domains, including all individuals, with examples of how to encode information for a notional interest rate swap contract.",Entity,"The 'all' ontology for DER example individuals is provided for convenience for FIBO users.  This ontology does not add new assertions, but imports all of the Production (Released) ontologies that comprise the FIBO Foundations (FND), Business Entities (BE), Financial Business and Commerce (FBC), Indices and Indicators (IND), Securities (SEC) and Derivatives (DER) domains, including all individuals, with examples of how to encode information for a notional interest rate swap contract."
"Copyright (c) 2018-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2018-2023 Object Management Group, Inc."
"Mizuho Financial Group, Inc.",Entity,"Mizuho Financial Group, Inc."
Exprentis,Entity,Exprentis
Thematix Partners LLC,Entity,Thematix Partners LLC
Citigroup,Entity,Citigroup
Federated Knowledge LLC,Entity,Federated Knowledge LLC
FIBO+-+FCT+-+Derivatives+Home,Entity,FIBO+-+FCT+-+Derivatives+Home
John F. Tierney,Entity,John F. Tierney
,Entity,
Quarule,Entity,Quarule
"All Derivatives, Example Individuals",Entity,"All Derivatives, Example Individuals"
Office of Financial Research (US Dept of the Treasury),Entity,Office of Financial Research (US Dept of the Treasury)
2018-03-31T18:00:00,Entity,2018-03-31T18:00:00
Commodities Futures Trading Commission (CFTC),Entity,Commodities Futures Trading Commission (CFTC)
"The Derivatives (DER) Domain covers many of the concepts that are common to derivative instruments, including but not limited to options, futures, forwards, swaps, and a wide range of other derivatives. This ontology provides metadata about the Derivatives Domain and its contents.",Entity,"The Derivatives (DER) Domain covers many of the concepts that are common to derivative instruments, including but not limited to options, futures, forwards, swaps, and a wide range of other derivatives. This ontology provides metadata about the Derivatives Domain and its contents."
"Copyright (c) 2018-2023 EDM Council, Inc.",Entity,"Copyright (c) 2018-2023 EDM Council, Inc."
"Financial Industry Business Ontology (FIBO) Derivatives (DER) Domain, with Reference and Example Individuals",Entity,"Financial Industry Business Ontology (FIBO) Derivatives (DER) Domain, with Reference and Example Individuals"
"Adaptive, Inc.",Entity,"Adaptive, Inc."
Credit Suisse,Entity,Credit Suisse
"Wells Fargo Bank, N.A.",Entity,"Wells Fargo Bank, N.A."
State Street Bank and Trust,Entity,State Street Bank and Trust
owl#Ontology,Entity,owl#Ontology
John F. Gemski,Entity,John F. Gemski
Working Ontologist,Entity,Working Ontologist
Tahoe Blue Ltd,Entity,Tahoe Blue Ltd
agnos.ai,Entity,agnos.ai
MIT,Entity,MIT
Bloomberg LP,Entity,Bloomberg LP
2023-02-03T18:00:00,Entity,2023-02-03T18:00:00
