id,type,name
Nordea Bank AB,Entity,Nordea Bank AB
Deutsche Bank,Entity,Deutsche Bank
"Copyright (c) 2018-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2018-2023 Object Management Group, Inc."
"Mizuho Financial Group, Inc.",Entity,"Mizuho Financial Group, Inc."
Exprentis,Entity,Exprentis
Thematix Partners LLC,Entity,Thematix Partners LLC
Citigroup,Entity,Citigroup
Federated Knowledge LLC,Entity,Federated Knowledge LLC
2023-04-14T18:00:00,Entity,2023-04-14T18:00:00
FIBO+-+FCT+-+Derivatives+Home,Entity,FIBO+-+FCT+-+Derivatives+Home
John F. Tierney,Entity,John F. Tierney
,Entity,
Quarule,Entity,Quarule
Office of Financial Research (US Dept of the Treasury),Entity,Office of Financial Research (US Dept of the Treasury)
2018-03-31T18:00:00,Entity,2018-03-31T18:00:00
Commodities Futures Trading Commission (CFTC),Entity,Commodities Futures Trading Commission (CFTC)
"The Derivatives (DER) Domain covers many of the concepts that are common to derivative instruments, including but not limited to options, futures, forwards, swaps, and a wide range of other derivatives. This ontology provides metadata about the Derivatives Domain and its contents.",Entity,"The Derivatives (DER) Domain covers many of the concepts that are common to derivative instruments, including but not limited to options, futures, forwards, swaps, and a wide range of other derivatives. This ontology provides metadata about the Derivatives Domain and its contents."
Financial Industry Business Ontology (FIBO) Derivatives (DER) Domain,Entity,Financial Industry Business Ontology (FIBO) Derivatives (DER) Domain
"Copyright (c) 2018-2023 EDM Council, Inc.",Entity,"Copyright (c) 2018-2023 EDM Council, Inc."
Derivatives Domain,Entity,Derivatives Domain
"Adaptive, Inc.",Entity,"Adaptive, Inc."
Credit Suisse,Entity,Credit Suisse
"Wells Fargo Bank, N.A.",Entity,"Wells Fargo Bank, N.A."
State Street Bank and Trust,Entity,State Street Bank and Trust
owl#Ontology,Entity,owl#Ontology
Working Ontologist,Entity,Working Ontologist
John F. Gemski,Entity,John F. Gemski
"The 'all' ontology for DER is provided for convenience for FIBO users.  This ontology does not add new assertions, but imports most of the Production (Released) ontologies that comprise the FIBO Foundations (FND), Business Entities (BE), Financial Business and Commerce (FBC), Indices and Indicators (IND), Securities (SEC), and Derivatives (DER) domains, excluding individuals for governments and jurisdictions, financial services, regulatory organizations and related registries, and reference individuals, as well as the LCC region-specific ontologies.",Entity,"The 'all' ontology for DER is provided for convenience for FIBO users.  This ontology does not add new assertions, but imports most of the Production (Released) ontologies that comprise the FIBO Foundations (FND), Business Entities (BE), Financial Business and Commerce (FBC), Indices and Indicators (IND), Securities (SEC), and Derivatives (DER) domains, excluding individuals for governments and jurisdictions, financial services, regulatory organizations and related registries, and reference individuals, as well as the LCC region-specific ontologies."
Tahoe Blue Ltd,Entity,Tahoe Blue Ltd
agnos.ai,Entity,agnos.ai
MIT,Entity,MIT
Bloomberg LP,Entity,Bloomberg LP
