id,type,name
Census Bureau (US Department of Commerce),Entity,Census Bureau (US Department of Commerce)
Nordea Bank AB,Entity,Nordea Bank AB
"Copyright (c) 2015-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2015-2023 Object Management Group, Inc."
Deutsche Bank,Entity,Deutsche Bank
Module,Entity,Module
FIBO IND Indicators Module,Entity,FIBO IND Indicators Module
agnos.ai UK Ltd,Entity,agnos.ai UK Ltd
Thematix Partners LLC,Entity,Thematix Partners LLC
"Wells Fargo Bank, N. A.",Entity,"Wells Fargo Bank, N. A."
Statistics Canada,Entity,Statistics Canada
Federal Reserve Bank of Kansas City,Entity,Federal Reserve Bank of Kansas City
indicators module,Entity,indicators module
Citigroup,Entity,Citigroup
IndicatorsModule,Entity,IndicatorsModule
2023-02-06T18:00:00,Entity,2023-02-06T18:00:00
John F. Tierney,Entity,John F. Tierney
"Bureau of Labor Statistics (BLS, US Department of Commerce)",Entity,"Bureau of Labor Statistics (BLS, US Department of Commerce)"
"Copyright (c) 2015-2023 EDM Council, Inc.",Entity,"Copyright (c) 2015-2023 EDM Council, Inc."
owl#NamedIndividual,Entity,owl#NamedIndividual
Financial Industry Business Ontology (FIBO) Indices and Indicators (IND) Indicators Module,Entity,Financial Industry Business Ontology (FIBO) Indices and Indicators (IND) Indicators Module
,Entity,
88 Solutions,Entity,88 Solutions
"Pinnacle Bank (Morgan Hill, California)",Entity,"Pinnacle Bank (Morgan Hill, California)"
"This module includes ontologies for concepts common to all market indices and market indicators, including economic measures.",Entity,"This module includes ontologies for concepts common to all market indices and market indicators, including economic measures."
"Bureau of Economic Analysis (BEA, US Department of Commerce)",Entity,"Bureau of Economic Analysis (BEA, US Department of Commerce)"
No Magic,Entity,No Magic
2018-08-27T18:00:00,Entity,2018-08-27T18:00:00
"Adaptive, Inc.",Entity,"Adaptive, Inc."
State Street Bank and Trust,Entity,State Street Bank and Trust
owl#Ontology,Entity,owl#Ontology
Metadata about the EDMC-FIBO Indices and Indicators (IND) Indicators Module,Entity,Metadata about the EDMC-FIBO Indices and Indicators (IND) Indicators Module
John F. Gemski,Entity,John F. Gemski
"Office of Financial Research (OFR), U.S. Department of the Treasury",Entity,"Office of Financial Research (OFR), U.S. Department of the Treasury"
Bank of New York Mellon,Entity,Bank of New York Mellon
Tahoe Blue Ltd,Entity,Tahoe Blue Ltd
 Mphasis,Entity, Mphasis
MIT,Entity,MIT
Bloomberg LP,Entity,Bloomberg LP
