id,type,name
Census Bureau (US Department of Commerce),Entity,Census Bureau (US Department of Commerce)
Nordea Bank AB,Entity,Nordea Bank AB
"Indices and Indicators Domain, North American Extension",Entity,"Indices and Indicators Domain, North American Extension"
Deutsche Bank,Entity,Deutsche Bank
agnos.ai UK Ltd,Entity,agnos.ai UK Ltd
Thematix Partners LLC,Entity,Thematix Partners LLC
"Wells Fargo Bank, N. A.",Entity,"Wells Fargo Bank, N. A."
Statistics Canada,Entity,Statistics Canada
Federal Reserve Bank of Kansas City,Entity,Federal Reserve Bank of Kansas City
"The 'all' ontology for IND, North American extension, is provided for convenience for FIBO users. It imports most of the Production (Released) ontologies that comprise the FIBO Foundations (FND), Business Entities (BE), Financial Business and Commerce (FBC), and Indices and Indicators (IND) domains, excluding European individuals for governments and jurisdictions, financial services, regulatory organizations and related registries, and reference individuals.",Entity,"The 'all' ontology for IND, North American extension, is provided for convenience for FIBO users. It imports most of the Production (Released) ontologies that comprise the FIBO Foundations (FND), Business Entities (BE), Financial Business and Commerce (FBC), and Indices and Indicators (IND) domains, excluding European individuals for governments and jurisdictions, financial services, regulatory organizations and related registries, and reference individuals."
Citigroup,Entity,Citigroup
2023-02-06T18:00:00,Entity,2023-02-06T18:00:00
John F. Tierney,Entity,John F. Tierney
"Bureau of Labor Statistics (BLS, US Department of Commerce)",Entity,"Bureau of Labor Statistics (BLS, US Department of Commerce)"
,Entity,
88 Solutions,Entity,88 Solutions
"Pinnacle Bank (Morgan Hill, California)",Entity,"Pinnacle Bank (Morgan Hill, California)"
"Bureau of Economic Analysis (BEA, US Department of Commerce)",Entity,"Bureau of Economic Analysis (BEA, US Department of Commerce)"
2018-08-27T18:00:00,Entity,2018-08-27T18:00:00
No Magic,Entity,No Magic
"Adaptive, Inc.",Entity,"Adaptive, Inc."
"Financial Industry Business Ontology (FIBO) Indices and Indicators (IND) Domain, North American Extension",Entity,"Financial Industry Business Ontology (FIBO) Indices and Indicators (IND) Domain, North American Extension"
State Street Bank and Trust,Entity,State Street Bank and Trust
owl#Ontology,Entity,owl#Ontology
John F. Gemski,Entity,John F. Gemski
"Office of Financial Research (OFR), U.S. Department of the Treasury",Entity,"Office of Financial Research (OFR), U.S. Department of the Treasury"
Tahoe Blue Ltd,Entity,Tahoe Blue Ltd
Bank of New York Mellon,Entity,Bank of New York Mellon
"The FIBO Indices and Indicators (IND) Domain covers market indices and reference rates including economic indicators, foreign exchange, interest rates, and other benchmarks. The ontologies cover quoted interest rates, economic measures such as employment rates, and quoted indices required to support baskets of securities, including specific kinds of securities in share indices or bond indices, as well as credit indices.",Entity,"The FIBO Indices and Indicators (IND) Domain covers market indices and reference rates including economic indicators, foreign exchange, interest rates, and other benchmarks. The ontologies cover quoted interest rates, economic measures such as employment rates, and quoted indices required to support baskets of securities, including specific kinds of securities in share indices or bond indices, as well as credit indices."
 Mphasis,Entity, Mphasis
MIT,Entity,MIT
Bloomberg LP,Entity,Bloomberg LP
"Copyright (c) 2014-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2014-2023 Object Management Group, Inc."
"Copyright (c) 2014-2023 EDM Council, Inc.",Entity,"Copyright (c) 2014-2023 EDM Council, Inc."
